year,itl22cd,nc_year,projected_proportion_continuing
2025,TLF2,year_group_11,0.99839254871072
2026,TLF2,year_group_11,0.99839254871072
2027,TLF2,year_group_11,0.99839254871072
2028,TLF2,year_group_11,0.99839254871072
2029,TLF2,year_group_11,0.99839254871072
2030,TLF2,year_group_11,0.99839254871072
2031,TLF2,year_group_11,0.99839254871072
2032,TLF2,year_group_11,0.99839254871072
2023,TLF3,year_group_11,0.987406887487433
2024,TLF3,year_group_11,0.987406887487433
2025,TLF3,year_group_11,0.987406887487433
2026,TLF3,year_group_11,0.987406887487433
2027,TLF3,year_group_11,0.987406887487433
2028,TLF3,year_group_11,0.987406887487433
2029,TLF3,year_group_11,0.987406887487433
2030,TLF3,year_group_11,0.987406887487433
2031,TLF3,year_group_11,0.987406887487433
2032,TLF3,year_group_11,0.987406887487433
2023,TLG1,year_group_11,0.99180839885729
2024,TLG1,year_group_11,0.99180839885729
2025,TLG1,year_group_11,0.99180839885729
2026,TLG1,year_group_11,0.99180839885729
2027,TLG1,year_group_11,0.99180839885729
2028,TLG1,year_group_11,0.99180839885729
2029,TLG1,year_group_11,0.99180839885729
2030,TLG1,year_group_11,0.99180839885729
2031,TLG1,year_group_11,0.99180839885729
2032,TLG1,year_group_11,0.99180839885729
2023,TLG2,year_group_11,0.989109940066483
2024,TLG2,year_group_11,0.989109940066483
2025,TLG2,year_group_11,0.989109940066483
2026,TLG2,year_group_11,0.989109940066483
2027,TLG2,year_group_11,0.989109940066483
2028,TLG2,year_group_11,0.989109940066483
2029,TLG2,year_group_11,0.989109940066483
2030,TLG2,year_group_11,0.989109940066483
2031,TLG2,year_group_11,0.989109940066483
2032,TLG2,year_group_11,0.989109940066483
2023,TLG3,year_group_11,0.998022854490323
2024,TLG3,year_group_11,0.998022854490323
2025,TLG3,year_group_11,0.998022854490323
2026,TLG3,year_group_11,0.998022854490323
2027,TLG3,year_group_11,0.998022854490323
2028,TLG3,year_group_11,0.998022854490323
2029,TLG3,year_group_11,0.998022854490323
2030,TLG3,year_group_11,0.998022854490323
2031,TLG3,year_group_11,0.998022854490323
2032,TLG3,year_group_11,0.998022854490323
2023,TLH1,year_group_11,0.992743656153992
2024,TLH1,year_group_11,0.992743656153992
2025,TLH1,year_group_11,0.992743656153992
2026,TLH1,year_group_11,0.992743656153992
2027,TLH1,year_group_11,0.992743656153992
2028,TLH1,year_group_11,0.992743656153992
2029,TLH1,year_group_11,0.992743656153992
2030,TLH1,year_group_11,0.992743656153992
2031,TLH1,year_group_11,0.992743656153992
2032,TLH1,year_group_11,0.992743656153992
2023,TLH2,year_group_11,0.995243432347699
2024,TLH2,year_group_11,0.995243432347699
2025,TLH2,year_group_11,0.995243432347699
2026,TLH2,year_group_11,0.995243432347699
2027,TLH2,year_group_11,0.995243432347699
2028,TLH2,year_group_11,0.995243432347699
2029,TLH2,year_group_11,0.995243432347699
2030,TLH2,year_group_11,0.995243432347699
2031,TLH2,year_group_11,0.995243432347699
2032,TLH2,year_group_11,0.995243432347699
2023,TLH3,year_group_11,0.990325134713377
2024,TLH3,year_group_11,0.990325134713377
2025,TLH3,year_group_11,0.990325134713377
2026,TLH3,year_group_11,0.990325134713377
2027,TLH3,year_group_11,0.990325134713377
2028,TLH3,year_group_11,0.990325134713377
2029,TLH3,year_group_11,0.990325134713377
2030,TLH3,year_group_11,0.990325134713377
2031,TLH3,year_group_11,0.990325134713377
2032,TLH3,year_group_11,0.990325134713377
2023,TLI3,year_group_11,0.990666752614228
