year,itl22cd,nc_year,headcount,previous_headcount,proportion_continuing
2017,TLD6,year_group_13,3296,3824,0.861924686192469
2017,TLD6,year_group_14,28,3397,0.00824256697085664
2017,TLD6,year_group_2,10860,10784,1.00704747774481
2017,TLD6,year_group_3,10755,10680,1.00702247191011
2017,TLD6,year_group_4,10441,10438,1.00028741138149
2017,TLD6,year_group_5,10722,10689,1.00308728599495
2017,TLD6,year_group_6,10324,10238,1.00840007814026
2017,TLD6,year_group_7,9924,9885,1.00394537177542
2017,TLD6,year_group_8,9962,9910,1.00524722502523
2017,TLD6,year_group_9,9587,9595,0.999166232412715
2018,TLD6,year_group_1,10448,10327,1.01171685871986
2018,TLD6,year_group_10,9686,9587,1.01032648378012
2018,TLD6,year_group_11,9377,9488,0.988301011804385
2018,TLD6,year_group_12,3379,9093,0.37160453095788
2018,TLD6,year_group_13,3293,3618,0.910171365395246
2018,TLD6,year_group_14,4,3296,0.00121359223300971
2018,TLD6,year_group_2,10944,10845,1.00912863070539
2018,TLD6,year_group_3,10889,10860,1.00267034990792
2018,TLD6,year_group_4,10799,10755,1.00409112040911
2018,TLD6,year_group_5,10520,10441,1.00756632506465
2018,TLD6,year_group_6,10782,10722,1.00559597090095
2018,TLD6,year_group_7,10306,10324,0.998256489732662
2018,TLD6,year_group_8,9967,9924,1.00433293027005
2018,TLD6,year_group_9,9980,9962,1.00180686609115
2019,TLD6,year_group_1,10360,10265,1.00925474914759
2019,TLD6,year_group_10,10044,9980,1.0064128256513
2019,TLD6,year_group_11,9631,9686,0.994321701424737
2019,TLD6,year_group_12,3572,9377,0.380932067825531
2019,TLD6,year_group_13,3023,3379,0.894643385617047
2019,TLD6,year_group_14,5,3293,0.00151837230488916
2019,TLD6,year_group_2,10540,10448,1.00880551301685
2019,TLD6,year_group_3,10997,10944,1.00484283625731
2019,TLD6,year_group_4,10952,10889,1.00578565524842
2019,TLD6,year_group_5,10855,10799,1.00518566533938
2019,TLD6,year_group_6,10540,10520,1.00190114068441
2019,TLD6,year_group_7,10703,10782,0.992672973474309
2019,TLD6,year_group_8,10301,10306,0.999514845720939
2019,TLD6,year_group_9,9983,9967,1.00160529748169
2020,TLD6,year_group_1,10329,10312,1.0016485647789
2020,TLD6,year_group_10,10017,9983,1.00340578984273
2020,TLD6,year_group_11,10007,10044,0.9963162086818
2020,TLD6,year_group_12,3769,9631,0.391340463087945
2020,TLD6,year_group_13,3395,3572,0.950447928331467
2020,TLD6,year_group_14,21,3023,0.00694674164737016
2020,TLD6,year_group_2,10340,10360,0.998069498069498
2020,TLD6,year_group_3,10548,10540,1.00075901328273
2020,TLD6,year_group_4,11007,10997,1.00090933891061
2020,TLD6,year_group_5,10929,10952,0.997899926953981
