gss_code,gss_name,year_ending_date,measure,geography,source,sex,source_url,value
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2003-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,24240
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2004-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,25048
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2005-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,25212
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2006-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,25653
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2007-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,26821
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2008-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,28350
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2009-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,27781
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2010-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,28435
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2011-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,29258
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2012-07-01,annual_births,ITL221,ONS mid-year estimates,persons,https://ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/estimatesofthepopulationforenglandandwales,29521
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2013-07-01,annual_births,ITL221,ONS mid-year estimates,persons,https://ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/estimatesofthepopulationforenglandandwales,28726
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2014-01-01,annual_births,ITL221,ONS calendar year births,persons,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=206,28210
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2014-07-01,annual_births,ITL221,ONS mid-year estimates,persons,https://ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/estimatesofthepopulationforenglandandwales,28259
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",2015-01-01,annual_births,ITL221,ONS calendar year births,persons,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=206,28318
